cc0,Christiana Cox,cc0@pitt.edu,password,NULL,NULL
ccr1,Christi Christi Reed,ccr1@pitt.edu,password,NULL,NULL
kkg2,Kellina Kellina Gonzalez,kkg2@pitt.edu,password,1958-07-23,NULL
sb3,Sybille Baker,sb3@pitt.edu,password,NULL,NULL
ssm4,Stephani Stephani Morris,ssm4@pitt.edu,password,NULL,NULL
tm5,Tandie Murphy,tm5@pitt.edu,password,1967-04-07,NULL
ccs6,Cordy Cordy Simmons,ccs6@pitt.edu,password,NULL,NULL
dy7,Dusty Young,dy7@pitt.edu,password,1978-01-05,NULL
jj8,Jeanine Johnson,jj8@pitt.edu,password,1984-04-26,NULL
rb9,Rahal Bell,rb9@pitt.edu,password,NULL,NULL
jg10,Johannah Garcia,jg10@pitt.edu,password,NULL,NULL
dh11,Dale Harris,dh11@pitt.edu,password,1983-01-20,NULL
cc12,Christen Campbell,cc12@pitt.edu,password,NULL,NULL
fm13,Florencia Morgan,fm13@pitt.edu,password,1979-02-14,NULL
kkr14,Kim Kim Rodriguez,kkr14@pitt.edu,password,NULL,NULL
st15,Silvie Taylor,st15@pitt.edu,password,1948-09-08,NULL
ggp16,Gennifer Gennifer Perez,ggp16@pitt.edu,password,NULL,NULL
kkr17,Konstance Konstance Rogers,kkr17@pitt.edu,password,2004-09-13,NULL
nnc18,Nanine Nanine Carter,nnc18@pitt.edu,password,1990-03-23,NULL
hhh19,Heath Heath Henderson,hhh19@pitt.edu,password,NULL,NULL
mc20,Madalyn Coleman,mc20@pitt.edu,password,NULL,NULL
rh21,Robina Hayes,rh21@pitt.edu,password,1970-10-15,NULL
sb22,Stesha Bennett,sb22@pitt.edu,password,NULL,NULL
vvn23,Vikky Vikky Nelson,vvn23@pitt.edu,password,1983-04-06,NULL
gp24,Giulia Peterson,gp24@pitt.edu,password,NULL,NULL
ggr25,Geneva Geneva Robinson,ggr25@pitt.edu,password,1962-06-22,NULL
sw26,Simona Wood,sw26@pitt.edu,password,1945-10-28,NULL
eem27,Elsy Elsy Myers,eem27@pitt.edu,password,2003-07-17,NULL
ea28,Emilee Alexander,ea28@pitt.edu,password,2004-03-11,NULL
ssm29,Shelby Shelby Moore,ssm29@pitt.edu,password,1971-11-13,NULL
lll30,Lyndell Lyndell Lewis,lll30@pitt.edu,password,NULL,NULL
wa31,Wandis Anderson,wa31@pitt.edu,password,NULL,NULL
ffs32,Fionnula Fionnula Sanchez,ffs32@pitt.edu,password,1984-09-23,NULL
bl33,Britni Lee,bl33@pitt.edu,password,1996-05-07,NULL
bg34,Becka Gonzales,bg34@pitt.edu,password,1970-07-23,NULL
nnw35,Nathalia Nathalia Wilson,nnw35@pitt.edu,password,NULL,NULL
cm36,Constantina Martinez,cm36@pitt.edu,password,NULL,NULL
gl37,Glory Lopez,gl37@pitt.edu,password,1988-12-25,NULL
rs38,Rivalee Smith,rs38@pitt.edu,password,NULL,NULL
tts39,Tessa Tessa Scott,tts39@pitt.edu,password,NULL,NULL
sj40,Sissie Jenkins,sj40@pitt.edu,password,1971-01-16,NULL
eel41,Etta Etta Long,eel41@pitt.edu,password,NULL,NULL
